index,filename,dimensions,format
0,6-3_output\01_gyr_g3\common\texture\g300_a3_uvfg1_d.dds,8x128,BC1_UNORM
0,7-0_output\01_gyr_g3\common\texture\g300_a3_uvfg1_d.dds,8x128,BC7_UNORM
1,6-3_output\01_gyr_g3\common\texture\g300_a3_wmap1_d.dds,512x256,BC1_UNORM
1,7-0_output\01_gyr_g3\common\texture\g300_a3_wmap1_d.dds,512x256,BC7_UNORM
2,6-3_output\01_gyr_g3\common\texture\g300_a5_carg1_d.dds,1024x1024,BC1_UNORM
2,7-0_output\01_gyr_g3\common\texture\g300_a5_carg1_d.dds,1024x1024,BC7_UNORM
3,6-3_output\01_gyr_g3\common\texture\g300_l0_lmp01_d.dds,512x512,BC1_UNORM
3,7-0_output\01_gyr_g3\common\texture\g300_l0_lmp01_d.dds,512x512,BC7_UNORM
4,6-3_output\01_gyr_g3\common\texture\g300_l0_lmp01_n.dds,512x512,BC3_UNORM
4,7-0_output\01_gyr_g3\common\texture\g300_l0_lmp01_n.dds,512x512,BC7_UNORM
5,6-3_output\01_roc_r2\common\texture\r200_a0_tnt01_d.dds,256x256,BC1_UNORM
5,7-0_output\01_roc_r2\common\texture\r200_a0_tnt01_d.dds,256x256,BC7_UNORM
6,6-3_output\01_roc_r2\common\texture\r200_a0_tnt01_n.dds,256x256,BC1_UNORM
6,7-0_output\01_roc_r2\common\texture\r200_a0_tnt01_n.dds,256x256,BC7_UNORM
7,6-3_output\01_roc_r2\common\texture\r200_a0_wara1_d.dds,512x256,BC1_UNORM
7,7-0_output\01_roc_r2\common\texture\r200_a0_wara1_d.dds,512x256,BC7_UNORM
8,6-3_output\01_roc_r2\common\texture\r200_a0_wol1a_d.dds,256x256,BC3_UNORM
8,7-0_output\01_roc_r2\common\texture\r200_a0_wol1a_d.dds,256x256,BC7_UNORM
9,6-3_output\01_roc_r2\common\texture\r200_a1_g0003_n.dds,512x256,BC3_UNORM
9,7-0_output\01_roc_r2\common\texture\r200_a1_g0003_n.dds,512x256,BC7_UNORM
10,6-3_output\01_roc_r2\common\texture\r200_a1_g0005_n.dds,256x256,BC1_UNORM
10,7-0_output\01_roc_r2\common\texture\r200_a1_g0005_n.dds,256x256,BC7_UNORM
11,6-3_output\01_roc_r2\common\texture\r200_b0_door1_n.dds,512x512,BC1_UNORM
11,7-0_output\01_roc_r2\common\texture\r200_b0_door1_n.dds,512x512,BC7_UNORM
14,6-3_output\01_roc_r2\common\texture\r200_b0_wind2_n.dds,128x128,BC3_UNORM
14,7-0_output\01_roc_r2\common\texture\r200_b0_wind2_n.dds,128x128,BC1_UNORM
15,6-3_output\01_roc_r2\common\texture\r200_z1_lmp1a_n.dds,256x512,BC1_UNORM
15,7-0_output\01_roc_r2\common\texture\r200_z1_lmp1a_n.dds,256x512,BC7_UNORM
16,6-3_output\01_roc_r2\common\texture\_r200_p1_giza1_d.dds,128x256,BC1_UNORM
16,7-0_output\01_roc_r2\common\texture\_r200_p1_giza1_d.dds,128x256,BC7_UNORM
19,6-3_output\02_dra_d2\common\texture\d200_l0_metl3_d.dds,256x256,BC1_UNORM
19,7-0_output\02_dra_d2\common\texture\d200_l0_metl3_d.dds,256x256,BC7_UNORM
20,6-3_output\02_dra_d2\common\texture\d200_l0_metl3_n.dds,256x256,BC1_UNORM
20,7-0_output\02_dra_d2\common\texture\d200_l0_metl3_n.dds,256x256,BC7_UNORM
25,6-3_output\02_dra_d2\common\texture\d200_l0_ston2_n.dds,512x512,BC3_UNORM
25,7-0_output\02_dra_d2\common\texture\d200_l0_ston2_n.dds,512x512,BC7_UNORM
58,6-3_output\02_est_e3\common\texture\e300_a0_itm01_d.dds,512x512,BC1_UNORM
58,7-0_output\02_est_e3\common\texture\e300_a0_itm01_d.dds,512x512,BC7_UNORM
61,6-3_output\02_est_e3\common\texture\e300_a1_itm01_d.dds,512x512,BC1_UNORM
61,7-0_output\02_est_e3\common\texture\e300_a1_itm01_d.dds,512x512,BC7_UNORM
62,6-3_output\02_est_e3\common\texture\e300_aa_itm01_n.dds,512x512,BC3_UNORM
62,7-0_output\02_est_e3\common\texture\e300_aa_itm01_n.dds,512x512,BC7_UNORM
63,6-3_output\02_est_e3\common\texture\e300_aa_itm06_d.dds,256x256,BC1_UNORM
63,7-0_output\02_est_e3\common\texture\e300_aa_itm06_d.dds,256x256,BC7_UNORM
64,6-3_output\02_est_e3\common\texture\e300_aa_itm17_d.dds,256x256,BC1_UNORM
64,7-0_output\02_est_e3\common\texture\e300_aa_itm17_d.dds,256x256,BC7_UNORM
65,6-3_output\02_est_e3\common\texture\e300_aa_itm33_d.dds,256x256,BC1_UNORM
65,7-0_output\02_est_e3\common\texture\e300_aa_itm33_d.dds,256x256,BC7_UNORM
66,6-3_output\02_est_e3\common\texture\e300_aa_itm36_d.dds,256x256,BC1_UNORM
66,7-0_output\02_est_e3\common\texture\e300_aa_itm36_d.dds,256x256,BC7_UNORM
67,6-3_output\02_est_e3\common\texture\e300_p0_plt01_d.dds,512x512,BC1_UNORM
67,7-0_output\02_est_e3\common\texture\e300_p0_plt01_d.dds,512x512,BC7_UNORM
68,6-3_output\02_est_e3\common\texture\e300_p0_plt02_d.dds,512x512,BC1_UNORM
68,7-0_output\02_est_e3\common\texture\e300_p0_plt02_d.dds,512x512,BC7_UNORM
69,6-3_output\02_est_e3\common\texture\e300_p0_plt03_d.dds,512x512,BC1_UNORM
69,7-0_output\02_est_e3\common\texture\e300_p0_plt03_d.dds,512x512,BC7_UNORM
70,6-3_output\02_est_e3\common\texture\e300_p0_plt04_d.dds,512x512,BC1_UNORM
70,7-0_output\02_est_e3\common\texture\e300_p0_plt04_d.dds,512x512,BC7_UNORM
71,6-3_output\02_est_e3\common\texture\e300_p0_plt05_d.dds,1024x512,BC1_UNORM
71,7-0_output\02_est_e3\common\texture\e300_p0_plt05_d.dds,1024x512,BC7_UNORM
72,6-3_output\02_est_e3\common\texture\e300_p0_plt10_d.dds,512x512,BC1_UNORM
72,7-0_output\02_est_e3\common\texture\e300_p0_plt10_d.dds,512x512,BC7_UNORM
73,6-3_output\02_est_e3\common\texture\e300_p0_plt20_d.dds,256x1024,BC1_UNORM
73,7-0_output\02_est_e3\common\texture\e300_p0_plt20_d.dds,256x1024,BC7_UNORM
74,6-3_output\02_est_e3\common\texture\e300_p0_plt21_d.dds,512x256,BC1_UNORM
74,7-0_output\02_est_e3\common\texture\e300_p0_plt21_d.dds,512x256,BC7_UNORM
75,6-3_output\02_est_e3\common\texture\e300_p1_brn01_d.dds,512x512,BC1_UNORM
75,7-0_output\02_est_e3\common\texture\e300_p1_brn01_d.dds,512x512,BC7_UNORM
76,6-3_output\02_est_e3\common\texture\e300_p1_lef01_d.dds,512x1024,BC1_UNORM
76,7-0_output\02_est_e3\common\texture\e300_p1_lef01_d.dds,512x1024,BC7_UNORM
77,6-3_output\02_est_e3\common\texture\e300_p1_lod1_d.dds,512x512,BC1_UNORM
77,7-0_output\02_est_e3\common\texture\e300_p1_lod1_d.dds,512x512,BC7_UNORM
78,6-3_output\02_est_e3\common\texture\e300_p2_lef01_d.dds,256x512,BC1_UNORM
78,7-0_output\02_est_e3\common\texture\e300_p2_lef01_d.dds,256x512,BC7_UNORM
79,6-3_output\02_est_e3\common\texture\e300_p2_lef02_d.dds,512x512,BC1_UNORM
79,7-0_output\02_est_e3\common\texture\e300_p2_lef02_d.dds,512x512,BC7_UNORM
80,6-3_output\02_est_e3\common\texture\e300_p3_lef01_d.dds,512x512,BC1_UNORM
80,7-0_output\02_est_e3\common\texture\e300_p3_lef01_d.dds,512x512,BC7_UNORM
81,6-3_output\02_est_e3\common\texture\e300_p4_lod1_d.dds,512x512,BC1_UNORM
81,7-0_output\02_est_e3\common\texture\e300_p4_lod1_d.dds,512x512,BC7_UNORM
82,6-3_output\02_est_e3\common\texture\e300_p5_lef01_d.dds,512x512,BC1_UNORM
82,7-0_output\02_est_e3\common\texture\e300_p5_lef01_d.dds,512x512,BC7_UNORM
83,6-3_output\02_est_e3\common\texture\e300_p5_lod1_d.dds,256x128,BC1_UNORM
83,7-0_output\02_est_e3\common\texture\e300_p5_lod1_d.dds,256x128,BC7_UNORM
84,6-3_output\02_est_e3\common\texture\e300_p7_brn01_d.dds,512x512,BC1_UNORM
84,7-0_output\02_est_e3\common\texture\e300_p7_brn01_d.dds,512x512,BC7_UNORM
85,6-3_output\02_est_e3\common\texture\e300_p7_lef01_d.dds,256x256,BC1_UNORM
85,7-0_output\02_est_e3\common\texture\e300_p7_lef01_d.dds,256x256,BC7_UNORM
86,6-3_output\alx\common\texture\d2a0_a3_mtl03_d.dds,256x256,BC1_UNORM
86,7-0_output\alx\common\texture\d2a0_a3_mtl03_d.dds,256x256,BC7_UNORM
87,6-3_output\alx\common\texture\d2a0_a3_net01_d.dds,256x256,BC1_UNORM
87,7-0_output\alx\common\texture\d2a0_a3_net01_d.dds,256x256,BC7_UNORM
88,6-3_output\alx\common\texture\d2a0_a4_magi1_d.dds,1024x1024,BC1_UNORM
88,7-0_output\alx\common\texture\d2a0_a4_magi1_d.dds,1024x1024,BC7_UNORM
89,6-3_output\alx\common\texture\d2a0_a5_bkmt1_n.dds,1024x1024,BC3_UNORM
89,7-0_output\alx\common\texture\d2a0_a5_bkmt1_n.dds,1024x1024,BC7_UNORM
90,6-3_output\alx\common\texture\d2a0_a7_gim00_d.dds,256x256,BC1_UNORM
90,7-0_output\alx\common\texture\d2a0_a7_gim00_d.dds,256x256,BC7_UNORM
91,6-3_output\alx\common\texture\d2a0_a7_gim02_d.dds,256x256,BC1_UNORM
91,7-0_output\alx\common\texture\d2a0_a7_gim02_d.dds,256x256,BC7_UNORM
92,6-3_output\alx\common\texture\d2a0_a9_heda4_d.dds,512x512,BC1_UNORM
92,7-0_output\alx\common\texture\d2a0_a9_heda4_d.dds,512x512,BC7_UNORM
93,6-3_output\alx\common\texture\d2a0_a9_wat01_n.dds,1024x1024,BC3_UNORM
93,7-0_output\alx\common\texture\d2a0_a9_wat01_n.dds,1024x1024,BC7_UNORM
94,6-3_output\alx\common\texture\d2a0_ab_bos01_d.dds,2048x2048,BC1_UNORM
94,7-0_output\alx\common\texture\d2a0_ab_bos01_d.dds,2048x2048,BC7_UNORM
95,6-3_output\alx\common\texture\d2a0_ab_bos02_d.dds,256x256,BC1_UNORM
95,7-0_output\alx\common\texture\d2a0_ab_bos02_d.dds,256x256,BC7_UNORM
96,6-3_output\alx\common\texture\d2a0_ab_bos03_d.dds,1024x1024,BC1_UNORM
96,7-0_output\alx\common\texture\d2a0_ab_bos03_d.dds,1024x1024,BC7_UNORM
97,6-3_output\alx\common\texture\d2a0_ab_bos06_d.dds,128x256,BC1_UNORM
97,7-0_output\alx\common\texture\d2a0_ab_bos06_d.dds,128x256,BC7_UNORM
98,6-3_output\alx\common\texture\d2a0_ac_g0001_d.dds,256x256,BC1_UNORM
98,7-0_output\alx\common\texture\d2a0_ac_g0001_d.dds,256x256,BC7_UNORM
99,6-3_output\alx\common\texture\_d2a0_a3_ito02_d.dds,512x512,BC1_UNORM
99,7-0_output\alx\common\texture\_d2a0_a3_ito02_d.dds,512x512,BC7_UNORM
100,6-3_output\alx\common\texture\_d2a0_a7_gim03_d.dds,256x256,BC1_UNORM
100,7-0_output\alx\common\texture\_d2a0_a7_gim03_d.dds,256x256,BC7_UNORM
101,6-3_output\alx\common\texture\_d2a0_ab_bos10_d.dds,256x256,BC1_UNORM
101,7-0_output\alx\common\texture\_d2a0_ab_bos10_d.dds,256x256,BC7_UNORM
102,6-3_output\alx\d2a9\texture\d2a9_al_door1_n.dds,256x512,BC3_UNORM
102,7-0_output\alx\d2a9\texture\d2a9_al_door1_n.dds,256x512,BC7_UNORM
103,6-3_output\alx\d2a9\texture\d2a9_al_gear1_d.dds,128x128,BC1_UNORM
103,7-0_output\alx\d2a9\texture\d2a9_al_gear1_d.dds,128x128,BC7_UNORM
104,6-3_output\alx\d2a9\texture\d2a9_al_met04_n.dds,256x256,BC3_UNORM
104,7-0_output\alx\d2a9\texture\d2a9_al_met04_n.dds,256x256,BC7_UNORM
105,6-3_output\alx\d2a9\texture\d2a9_al_met09_n.dds,1024x1024,BC3_UNORM
105,7-0_output\alx\d2a9\texture\d2a9_al_met09_n.dds,1024x1024,BC7_UNORM
106,6-3_output\alx\d2a9\texture\d2a9_al_met10_d.dds,64x64,BC1_UNORM
106,7-0_output\alx\d2a9\texture\d2a9_al_met10_d.dds,64x64,BC7_UNORM
107,6-3_output\alx\d2a9\texture\d2a9_p3_brn01_d.dds,256x512,BC1_UNORM
107,7-0_output\alx\d2a9\texture\d2a9_p3_brn01_d.dds,256x512,BC7_UNORM
108,6-3_output\alx\d2a9\texture\d2a9_p3_lef01_d.dds,512x1024,BC1_UNORM
108,7-0_output\alx\d2a9\texture\d2a9_p3_lef01_d.dds,512x1024,BC7_UNORM
109,6-3_output\alx\d2a9\texture\d2a9_p3_lod01_d.dds,512x512,BC1_UNORM
