index,filename,dimensions,format
4,6-3_output\01_gyr_g3\common\texture\g300_l0_lmp01_n.dds,512x512,BC3_UNORM
4,7-0_output\01_gyr_g3\common\texture\g300_l0_lmp01_n.dds,512x512,BC7_UNORM
8,6-3_output\01_roc_r2\common\texture\r200_a0_wol1a_d.dds,256x256,BC3_UNORM
8,7-0_output\01_roc_r2\common\texture\r200_a0_wol1a_d.dds,256x256,BC7_UNORM
9,6-3_output\01_roc_r2\common\texture\r200_a1_g0003_n.dds,512x256,BC3_UNORM
9,7-0_output\01_roc_r2\common\texture\r200_a1_g0003_n.dds,512x256,BC7_UNORM
25,6-3_output\02_dra_d2\common\texture\d200_l0_ston2_n.dds,512x512,BC3_UNORM
25,7-0_output\02_dra_d2\common\texture\d200_l0_ston2_n.dds,512x512,BC7_UNORM
62,6-3_output\02_est_e3\common\texture\e300_aa_itm01_n.dds,512x512,BC3_UNORM
62,7-0_output\02_est_e3\common\texture\e300_aa_itm01_n.dds,512x512,BC7_UNORM
89,6-3_output\alx\common\texture\d2a0_a5_bkmt1_n.dds,1024x1024,BC3_UNORM
89,7-0_output\alx\common\texture\d2a0_a5_bkmt1_n.dds,1024x1024,BC7_UNORM
93,6-3_output\alx\common\texture\d2a0_a9_wat01_n.dds,1024x1024,BC3_UNORM
93,7-0_output\alx\common\texture\d2a0_a9_wat01_n.dds,1024x1024,BC7_UNORM
102,6-3_output\alx\d2a9\texture\d2a9_al_door1_n.dds,256x512,BC3_UNORM
102,7-0_output\alx\d2a9\texture\d2a9_al_door1_n.dds,256x512,BC7_UNORM
104,6-3_output\alx\d2a9\texture\d2a9_al_met04_n.dds,256x256,BC3_UNORM
104,7-0_output\alx\d2a9\texture\d2a9_al_met04_n.dds,256x256,BC7_UNORM
105,6-3_output\alx\d2a9\texture\d2a9_al_met09_n.dds,1024x1024,BC3_UNORM
105,7-0_output\alx\d2a9\texture\d2a9_al_met09_n.dds,1024x1024,BC7_UNORM
112,6-3_output\alx\d2az\texture\d2az_al_met04_n.dds,256x256,BC3_UNORM
112,7-0_output\alx\d2az\texture\d2az_al_met04_n.dds,256x256,BC7_UNORM
113,6-3_output\alx\d2az\texture\d2az_al_met09_n.dds,1024x1024,BC3_UNORM
113,7-0_output\alx\d2az\texture\d2az_al_met09_n.dds,1024x1024,BC7_UNORM
122,6-3_output\ang\o1a1\texture\o1a1_04_h09_n.dds,128x128,BC3_UNORM
122,7-0_output\ang\o1a1\texture\o1a1_04_h09_n.dds,128x128,BC7_UNORM
130,6-3_output\ang\o1a1\texture\_n_wavelet_000.dds,512x512,BC3_UNORM
130,7-0_output\ang\o1a1\texture\_n_wavelet_000.dds,512x512,BC7_UNORM
131,6-3_output\ang\o1a1\texture\_n_wave_000.dds,512x512,BC3_UNORM
131,7-0_output\ang\o1a1\texture\_n_wave_000.dds,512x512,BC7_UNORM
132,6-3_output\ang\o1a1\texture\_n_wave_001.dds,512x512,BC3_UNORM
132,7-0_output\ang\o1a1\texture\_n_wave_001.dds,512x512,BC7_UNORM
133,6-3_output\ang\o1a1\texture\_n_wave_002.dds,512x512,BC3_UNORM
133,7-0_output\ang\o1a1\texture\_n_wave_002.dds,512x512,BC7_UNORM
143,6-3_output\bah\common\texture\f1b0_b1_edge1_n.dds,512x512,BC3_UNORM
143,7-0_output\bah\common\texture\f1b0_b1_edge1_n.dds,512x512,BC7_UNORM
144,6-3_output\bah\common\texture\f1b0_b1_edge2_n.dds,1024x1024,BC3_UNORM
144,7-0_output\bah\common\texture\f1b0_b1_edge2_n.dds,1024x1024,BC7_UNORM
145,6-3_output\bah\common\texture\f1b0_b1_flor1_n.dds,1024x1024,BC3_UNORM
145,7-0_output\bah\common\texture\f1b0_b1_flor1_n.dds,1024x1024,BC7_UNORM
146,6-3_output\bah\common\texture\f1b0_b1_flor2_n.dds,1024x1024,BC3_UNORM
146,7-0_output\bah\common\texture\f1b0_b1_flor2_n.dds,1024x1024,BC7_UNORM
147,6-3_output\bah\common\texture\f1b0_b1_metl2_n.dds,256x256,BC3_UNORM
147,7-0_output\bah\common\texture\f1b0_b1_metl2_n.dds,256x256,BC7_UNORM
148,6-3_output\bah\common\texture\f1b0_b1_wall1_n.dds,1024x1024,BC3_UNORM
