filename,dimensions,format
people\human\c0101\obj\hair\h0106\texture\c0101h0106_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0112\texture\c0101h0112_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0114\texture\c0101h0114_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0132\texture\c0101h0132_acc_id.dds,64x64,BC5_UNORM
people\human\c0101\obj\hair\h0135\texture\c0101h0135_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0138\texture\c0101h0138_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0145\texture\c0101h0145_acc_id.dds,64x64,BC5_UNORM
people\human\c0101\obj\hair\h0146\texture\c0101h0146_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0147\texture\c0101h0147_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0154\texture\c0101h0154_acc_id.dds,64x32,BC5_UNORM
people\human\c0101\obj\hair\h0157\texture\c0101h0157_acc_id.dds,128x128,BC5_UNORM
people\human\c0101\obj\hair\h0158\texture\c0101h0158_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0163\texture\c0101h0163_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0168\texture\c0101h0168_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0169\texture\c0101h0169_acc_id.dds,128x128,BC5_UNORM
people\human\c0101\obj\hair\h0174\texture\c0101h0174_acc_id.dds,128x128,BC5_UNORM
people\human\c0101\obj\hair\h0176\texture\c0101h0176_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0178\texture\c0101h0178_acc_id.dds,256x128,BC5_UNORM
people\human\c0201\obj\hair\h0014\texture\c0201h0014_acc_id.dds,64x64,BC5_UNORM
people\human\c0201\obj\hair\h0061\texture\c0201h0061_acc_id.dds,64x64,BC5_UNORM
people\human\c0201\obj\hair\h0103\texture\c0201h0103_acc_id.dds,64x64,BC5_UNORM
people\human\c0201\obj\hair\h0106\texture\c0201h0106_acc_id.dds,128x64,BC5_UNORM
people\human\c0201\obj\hair\h0112\texture\c0201h0112_acc_id.dds,128x64,BC5_UNORM
people\human\c0201\obj\hair\h0130\texture\c0201h0130_acc_id.dds,128x64,BC5_UNORM
people\human\c0201\obj\hair\h0132\texture\c0201h0132_acc_id.dds,64x64,BC5_UNORM
people\human\c0201\obj\hair\h0135\texture\c0201h0135_acc_id.dds,64x32,BC5_UNORM
people\human\c0201\obj\hair\h0138\texture\c0201h0138_acc_id.dds,128x64,BC5_UNORM
people\human\c0201\obj\hair\h0145\texture\c0201h0145_acc_id.dds,64x64,BC5_UNORM
people\human\c0201\obj\hair\h0146\texture\c0201h0146_acc_id.dds,128x64,BC5_UNORM
people\human\c0201\obj\hair\h0147\texture\c0201h0147_acc_id.dds,128x64,BC5_UNORM
people\human\c0201\obj\hair\h0154\texture\c0201h0154_acc_id.dds,64x32,BC5_UNORM
