filename,dimensions,format
people\human\c0101\obj\body\b0001\texture\c0101b0001_base.dds,512x1024,BC1_UNORM
people\human\c0101\obj\face\f0001\texture\c0101f0001_etc_norm.dds,256x512,BC3_UNORM
people\human\c0101\obj\face\f0001\texture\c0101f0001_fac_mask.dds,256x512,BC1_UNORM
people\human\c0101\obj\face\f0002\texture\c0101f0002_etc_norm.dds,256x512,BC3_UNORM
people\human\c0101\obj\face\f0003\texture\c0101f0003_etc_norm.dds,512x512,BC3_UNORM
people\human\c0101\obj\face\f0004\texture\c0101f0004_etc_norm.dds,256x512,BC3_UNORM
people\human\c0101\obj\face\f0006\texture\c0101f0006_etc_norm.dds,256x512,BC3_UNORM
people\human\c0101\obj\face\f0007\texture\c0101f0007_etc_norm.dds,512x512,BC3_UNORM
people\human\c0101\obj\hair\h0001\texture\c0101h0001_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0001\texture\c0101h0001_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0001\texture\c0101h0001_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0002\texture\c0101h0002_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0002\texture\c0101h0002_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0002\texture\c0101h0002_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0003\texture\c0101h0003_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0003\texture\c0101h0003_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0003\texture\c0101h0003_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0004\texture\c0101h0004_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0004\texture\c0101h0004_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0004\texture\c0101h0004_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0005\texture\c0101h0005_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0005\texture\c0101h0005_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0005\texture\c0101h0005_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0006\texture\c0101h0006_acc_base.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0006\texture\c0101h0006_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0006\texture\c0101h0006_acc_spec.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0007\texture\c0101h0007_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0007\texture\c0101h0007_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0007\texture\c0101h0007_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0008\texture\c0101h0008_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0008\texture\c0101h0008_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0008\texture\c0101h0008_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0009\texture\c0101h0009_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0009\texture\c0101h0009_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0009\texture\c0101h0009_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0010\texture\c0101h0010_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0010\texture\c0101h0010_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0010\texture\c0101h0010_acc_s.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0011\texture\c0101h0011_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0011\texture\c0101h0011_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0011\texture\c0101h0011_acc_s.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0012\texture\c0101h0012_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0012\texture\c0101h0012_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0012\texture\c0101h0012_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0013\texture\c0101h0013_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0013\texture\c0101h0013_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0013\texture\c0101h0013_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0014\texture\c0101h0014_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0014\texture\c0101h0014_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0014\texture\c0101h0014_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0051\texture\c0101h0051_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0051\texture\c0101h0051_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0051\texture\c0101h0051_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0052\texture\c0101h0052_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0052\texture\c0101h0052_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0052\texture\c0101h0052_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0053\texture\c0101h0053_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0053\texture\c0101h0053_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0053\texture\c0101h0053_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0054\texture\c0101h0054_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0054\texture\c0101h0054_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0054\texture\c0101h0054_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0101\texture\c0101h0101_acc_base.dds,256x256,BC1_UNORM
people\human\c0101\obj\hair\h0101\texture\c0101h0101_acc_mult.dds,256x256,BC1_UNORM
people\human\c0101\obj\hair\h0101\texture\c0101h0101_acc_norm.dds,256x256,BC1_UNORM
people\human\c0101\obj\hair\h0102\texture\c0101h0102_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0102\texture\c0101h0102_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0102\texture\c0101h0102_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0103\texture\c0101h0103_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0103\texture\c0101h0103_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0103\texture\c0101h0103_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0104\texture\c0101h0104_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0104\texture\c0101h0104_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0104\texture\c0101h0104_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0105\texture\c0101h0105_acc_base.dds,64x64,BC1_UNORM
people\human\c0101\obj\hair\h0105\texture\c0101h0105_acc_norm.dds,64x64,BC1_UNORM
people\human\c0101\obj\hair\h0105\texture\c0101h0105_acc_spec.dds,64x64,BC1_UNORM
people\human\c0101\obj\hair\h0106\texture\c0101h0106_acc_base.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0106\texture\c0101h0106_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0106\texture\c0101h0106_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0106\texture\c0101h0106_acc_spec.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0112\texture\c0101h0112_acc_base.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0112\texture\c0101h0112_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0112\texture\c0101h0112_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0112\texture\c0101h0112_acc_spec.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0114\texture\c0101h0114_acc_base.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0114\texture\c0101h0114_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0114\texture\c0101h0114_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0114\texture\c0101h0114_acc_spec.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0122\texture\c0101h0122_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0122\texture\c0101h0122_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0122\texture\c0101h0122_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0123\texture\c0101h0123_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0123\texture\c0101h0123_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0123\texture\c0101h0123_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0124\texture\c0101h0124_acc_base.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0124\texture\c0101h0124_acc_norm.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0124\texture\c0101h0124_acc_spec.dds,64x32,BC2_UNORM
people\human\c0101\obj\hair\h0128\texture\c0101h0128_acc_base.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0128\texture\c0101h0128_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0128\texture\c0101h0128_acc_spec.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0132\texture\c0101h0132_acc_base.dds,64x64,BC1_UNORM
people\human\c0101\obj\hair\h0132\texture\c0101h0132_acc_id.dds,64x64,BC5_UNORM
people\human\c0101\obj\hair\h0132\texture\c0101h0132_acc_norm.dds,64x64,BC1_UNORM
people\human\c0101\obj\hair\h0132\texture\c0101h0132_acc_spec.dds,64x64,BC1_UNORM
people\human\c0101\obj\hair\h0135\texture\c0101h0135_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0135\texture\c0101h0135_acc_mult.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0135\texture\c0101h0135_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0138\texture\c0101h0138_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0138\texture\c0101h0138_acc_mult.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0138\texture\c0101h0138_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0143\texture\c0101h0143_acc_base.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0143\texture\c0101h0143_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0143\texture\c0101h0143_acc_spec.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0145\texture\c0101h0145_acc_id.dds,64x64,BC5_UNORM
people\human\c0101\obj\hair\h0145\texture\c0101h0145_acc_mult.dds,32x32,BC1_UNORM
people\human\c0101\obj\hair\h0145\texture\c0101h0145_acc_norm.dds,64x64,BC1_UNORM
people\human\c0101\obj\hair\h0146\texture\c0101h0146_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0146\texture\c0101h0146_acc_mult.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0146\texture\c0101h0146_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0147\texture\c0101h0147_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0147\texture\c0101h0147_acc_mult.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0147\texture\c0101h0147_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0154\texture\c0101h0154_acc_id.dds,64x32,BC5_UNORM
people\human\c0101\obj\hair\h0154\texture\c0101h0154_acc_mult.dds,32x16,BC1_UNORM
people\human\c0101\obj\hair\h0154\texture\c0101h0154_acc_norm.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0157\texture\c0101h0157_acc_id.dds,128x128,BC5_UNORM
people\human\c0101\obj\hair\h0157\texture\c0101h0157_acc_mult.dds,64x64,BC1_UNORM
people\human\c0101\obj\hair\h0157\texture\c0101h0157_acc_norm.dds,128x128,BC1_UNORM
people\human\c0101\obj\hair\h0158\texture\c0101h0158_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0158\texture\c0101h0158_acc_mult.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0158\texture\c0101h0158_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0163\texture\c0101h0163_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0163\texture\c0101h0163_acc_mult.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0163\texture\c0101h0163_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0167\texture\c0101h0167_acc_id.dds,256x128,BC1_UNORM
people\human\c0101\obj\hair\h0167\texture\c0101h0167_acc_mult.dds,256x128,BC1_UNORM
people\human\c0101\obj\hair\h0167\texture\c0101h0167_acc_norm.dds,256x128,BC1_UNORM
people\human\c0101\obj\hair\h0168\texture\c0101h0168_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0168\texture\c0101h0168_acc_mult.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0168\texture\c0101h0168_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0169\texture\c0101h0169_acc_base.dds,128x128,BC1_UNORM
people\human\c0101\obj\hair\h0169\texture\c0101h0169_acc_id.dds,128x128,BC5_UNORM
people\human\c0101\obj\hair\h0169\texture\c0101h0169_acc_norm.dds,128x128,BC1_UNORM
people\human\c0101\obj\hair\h0169\texture\c0101h0169_acc_spec.dds,128x128,BC1_UNORM
people\human\c0101\obj\hair\h0174\texture\c0101h0174_acc_base.dds,128x128,BC1_UNORM
people\human\c0101\obj\hair\h0174\texture\c0101h0174_acc_id.dds,128x128,BC5_UNORM
people\human\c0101\obj\hair\h0174\texture\c0101h0174_acc_norm.dds,128x128,BC1_UNORM
people\human\c0101\obj\hair\h0174\texture\c0101h0174_acc_spec.dds,128x128,BC1_UNORM
people\human\c0101\obj\hair\h0176\texture\c0101h0176_acc_id.dds,128x64,BC5_UNORM
people\human\c0101\obj\hair\h0176\texture\c0101h0176_acc_mult.dds,64x32,BC1_UNORM
people\human\c0101\obj\hair\h0176\texture\c0101h0176_acc_norm.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0178\texture\c0101h0178_acc_id.dds,256x128,BC5_UNORM
people\human\c0101\obj\hair\h0178\texture\c0101h0178_acc_mult.dds,128x64,BC1_UNORM
people\human\c0101\obj\hair\h0178\texture\c0101h0178_acc_norm.dds,256x128,BC1_UNORM
people\human\c0104\obj\body\b0001\texture\c0104b0001_base.dds,512x1024,BC1_UNORM
people\human\c0104\obj\face\f0001\texture\c0104f0001_etc_norm.dds,128x64,BC3_UNORM
people\human\c0104\obj\face\f0001\texture\c0104f0001_fac_mask.dds,256x512,BC1_UNORM
people\human\c0104\obj\face\f0002\texture\c0104f0002_etc_norm.dds,256x256,BC3_UNORM
people\human\c0104\obj\face\f0002\texture\c0104f0002_fac_mask.dds,256x512,BC1_UNORM
people\human\c0201\obj\body\b0001\texture\c0201b0001_base.dds,512x1024,BC1_UNORM
people\human\c0201\obj\face\f0001\texture\c0201f0001_etc_norm.dds,256x512,BC3_UNORM
people\human\c0201\obj\face\f0001\texture\c0201f0001_fac_mask.dds,256x512,BC1_UNORM
people\human\c0201\obj\face\f0002\texture\c0201f0002_etc_norm.dds,256x512,BC3_UNORM
people\human\c0201\obj\face\f0003\texture\c0201f0003_etc_norm.dds,256x512,BC3_UNORM
people\human\c0201\obj\face\f0004\texture\c0201f0004_etc_norm.dds,256x512,BC3_UNORM
people\human\c0201\obj\face\f0005\texture\c0201f0005_etc_norm.dds,256x512,BC3_UNORM
people\human\c0201\obj\face\f0205\texture\eye01_base.dds,128x128,BC1_UNORM
people\human\c0201\obj\face\f0216\texture\eye01_base.dds,128x128,BC1_UNORM
people\human\c0201\obj\hair\h0001\texture\c0201h0001_acc_base.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0001\texture\c0201h0001_acc_norm.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0001\texture\c0201h0001_acc_spec.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0002\texture\c0201h0002_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0002\texture\c0201h0002_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0002\texture\c0201h0002_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0003\texture\c0201h0003_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0003\texture\c0201h0003_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0003\texture\c0201h0003_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0004\texture\c0201h0004_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0004\texture\c0201h0004_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0004\texture\c0201h0004_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0005\texture\c0201h0005_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0005\texture\c0201h0005_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0005\texture\c0201h0005_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0006\texture\c0201h0006_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0006\texture\c0201h0006_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0006\texture\c0201h0006_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0007\texture\c0201h0007_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0007\texture\c0201h0007_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0007\texture\c0201h0007_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0008\texture\c0201h0008_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0008\texture\c0201h0008_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0008\texture\c0201h0008_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0009\texture\c0201h0009_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0009\texture\c0201h0009_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0009\texture\c0201h0009_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0010\texture\c0201h0010_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0010\texture\c0201h0010_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0010\texture\c0201h0010_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0011\texture\c0201h0011_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0011\texture\c0201h0011_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0011\texture\c0201h0011_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0012\texture\c0201h0012_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0012\texture\c0201h0012_acc_norm.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0012\texture\c0201h0012_acc_spec.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0013\texture\c0201h0013_acc_base.dds,64x128,BC1_UNORM
people\human\c0201\obj\hair\h0013\texture\c0201h0013_acc_norm.dds,64x128,BC1_UNORM
people\human\c0201\obj\hair\h0013\texture\c0201h0013_acc_spec.dds,64x128,BC1_UNORM
people\human\c0201\obj\hair\h0014\texture\c0201h0014_acc_base.dds,64x64,BC1_UNORM
people\human\c0201\obj\hair\h0014\texture\c0201h0014_acc_id.dds,64x64,BC5_UNORM
people\human\c0201\obj\hair\h0014\texture\c0201h0014_acc_norm.dds,64x64,BC1_UNORM
people\human\c0201\obj\hair\h0014\texture\c0201h0014_acc_spec.dds,64x64,BC1_UNORM
people\human\c0201\obj\hair\h0015\texture\c0201h0015_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0015\texture\c0201h0015_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0015\texture\c0201h0015_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0051\texture\c0201h0051_acc_base.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0051\texture\c0201h0051_acc_norm.dds,128x64,BC1_UNORM
